id,subject,catalog_number,code,academic_group,academic_org,career_level,effective_year,level,department,title
180972,METUA,808,METUA 808,MET,MET,GRAD,2023,Graduate,MET,METUA 808
180973,GMSGE,706,GMSGE 706,MED,GMS,GRAD,2023,Graduate,GMS,GMSGE 706
180974,GRSSO,893,GRSSO 893,GRS,GRSSO,GRAD,2023,Graduate,GRSSO,GRSSO 893
180975,METUA,526S,METUA 526S,MET,SUM,UGRD,2023,Graduate,SUM,METUA 526S
102320,CASCL,406,CASCL 406,CAS,CASCL,UGRD,2022,Advanced Undergraduate,CASCL,CASCL 406
102542,CASCS,350,CASCS 350,CAS,CASCS,UGRD,2022,Advanced Undergraduate,CASCS,CASCS 350
108249,CASPH,413,CASPH 413,CAS,CASPH,UGRD,2023,Advanced Undergraduate,CASPH,CASPH 413
108255,CASPH,418,CASPH 418,CAS,CASPH,UGRD,2023,Advanced Undergraduate,CASPH,CASPH 418
108256,CASPH,419,CASPH 419,CAS,CASPH,UGRD,2022,Advanced Undergraduate,CASPH,CASPH 419
108259,CASPH,422,CASPH 422,CAS,CASPH,UGRD,2023,Advanced Undergraduate,CASPH,CASPH 422
108262,CASPH,426,CASPH 426,CAS,CASPH,UGRD,2023,Advanced Undergraduate,CASPH,CASPH 426
108263,CASPH,427,CASPH 427,CAS,CASPH,UGRD,2023,Advanced Undergraduate,CASPH,CASPH 427
108269,CASPH,436S,CASPH 436S,CAS,SUM,UGRD,2023,Advanced Undergraduate,SUM,CASPH 436S
108270,CASPH,436,CASPH 436,CAS,CASPH,UGRD,2023,Advanced Undergraduate,CASPH,CASPH 436
108294,CASPH,457,CASPH 457,CAS,CASPH,UGRD,2023,Advanced Undergraduate,CASPH,CASPH 457
124867,ENGBE,802,ENGBE 802,ENG,ENG,GRAD,2023,Graduate,ENG,ENGBE 802
124868,ENGBE,810S,ENGBE 810S,ENG,SUM,GRAD,2023,Graduate,SUM,ENGBE 810S
124869,ENGBE,810,ENGBE 810,ENG,ENG,GRAD,2023,Graduate,ENG,ENGBE 810
124870,ENGBE,811S,ENGBE 811S,ENG,SUM,GRAD,2023,Graduate,SUM,ENGBE 811S
124871,ENGBE,811,ENGBE 811,ENG,ENG,GRAD,2023,Graduate,ENG,ENGBE 811
124873,ENGBE,900S,ENGBE 900S,ENG,SUM,GRAD,2023,Graduate,SUM,ENGBE 900S
124874,ENGBE,900,ENGBE 900,ENG,ENG,GRAD,2023,Graduate,ENG,ENGBE 900
124888,ENGBE,954S,ENGBE 954S,ENG,SUM,GRAD,2023,Graduate,SUM,ENGBE 954S
124889,ENGBE,954,ENGBE 954,ENG,ENG,GRAD,2023,Graduate,ENG,ENGBE 954
124891,ENGBE,991S,ENGBE 991S,ENG,SUM,GRAD,2023,Graduate,SUM,ENGBE 991S
124894,ENGBE,991,ENGBE 991,ENG,ENG,GRAD,2023,Graduate,ENG,ENGBE 991
180976,CFATH,466,CFATH 466,CFA,CFA,UGRD,2026,Advanced Undergraduate,CFA,CFATH 466
180977,GRSWS,650,GRSWS 650,GRS,GRSWS,GRAD,2023,Graduate,GRSWS,GRSWS 650
180978,SEDWL,513,SEDWL 513,WED,SED,UGRD,2023,Graduate,SED,SEDWL 513
180979,EOPLS,041S,EOPLS 041S,BU1,EOP,UGRD,2023,Introductory,EOP,EOPLS 041S
180980,EOPOR,032S,EOPOR 032S,BU1,EOP,UGRD,2023,Introductory,EOP,EOPOR 032S
180981,EOPLS,39,EOPLS 39,BU1,EOP,UGRD,2023,Introductory,EOP,EOPLS 39
180982,HUBCC,195,HUBCC 195,BU1,HUB,UGRD,2023,Undergraduate Lower,HUB,HUBCC 195
180983,ENGBE,493,ENGBE 493,ENG,ENG,UGRD,2023,Advanced Undergraduate,ENG,ENGBE 493
180984,EOPMA,040S,EOPMA 040S,BU1,EOP,UGRD,2023,Introductory,EOP,EOPMA 040S
180985,CASWS,507,CASWS 507,CAS,CASWS,UGRD,2023,Graduate,CASWS,CASWS 507
180986,CASEC,224,CASEC 224,CAS,CASEC,UGRD,2023,Undergraduate Upper,CASEC,CASEC 224
180987,CASEC,221,CASEC 221,CAS,CASEC,UGRD,2023,Undergraduate Upper,CASEC,CASEC 221
180988,GRSRN,651,GRSRN 651,GRS,GRSRN,GRAD,2023,Graduate,GRSRN,GRSRN 651
180989,CASAR,595,CASAR 595,CAS,CASAR,UGRD,2023,Graduate,CASAR,CASAR 595
180990,ENGEC,414E,ENGEC 414E,ENG,SAB,UGRD,2023,Advanced Undergraduate,SAB,ENGEC 414E
180991,CASAN,531,CASAN 531,CAS,CASAN,UGRD,2024,Graduate,CASAN,CASAN 531
180992,GRSWS,631,GRSWS 631,GRS,GRSWS,GRAD,2023,Graduate,GRSWS,GRSWS 631
180993,COMCO,145S,COMCO 145S,COM,COM,UGRD,2024,Undergraduate Lower,COM,COMCO 145S
